"id","count","description","end_date","limit","users"
"3M1WW","","National American University","Fri Nov 25 2022","50",""
"AIBH","1","L","Sat Aug 06 2022","15","[{""M"":{""exp_date"":{""S"":""Sat Aug 06 2022""},""user_id"":{""S"":""7cfde546-5b98-4ceb-a6eb-7328bc2981c9""}}}]"
"93OV3","","unTribe","Sat Aug 06 2022","50",""
"O20TS","","Fidelity","Sun Dec 04 2022","50",""
"BPJP","1","Carilion Clinic","Sat Aug 13 2022","15","[{""M"":{""user_id"":{""S"":""google_101939228415857156941""},""exp_date"":{""S"":""Sat Aug 13 2022""}}}]"
"HRNM","1","Lite Hyppo Entertainment","Sat Aug 06 2022","15","[{""M"":{""exp_date"":{""S"":""Sat Aug 06 2022""},""user_id"":{""S"":""google_116653576354702145673""}}}]"
"VWLL","1","Principal","Sat Aug 06 2022","15","[{""M"":{""exp_date"":{""S"":""Sat Aug 06 2022""},""user_id"":{""S"":""google_111219781080568987662""}}}]"
"U2RNC","","","Sun Oct 09 2022","50",""
"1CUKT","0","Alex Rodriguez","Wed Feb 01 2023","50",""
"JAJS","0","Date","Mon Feb 20 2023","50",""
"SXW3Y","","Initial Capital","Sat Oct 08 2022","50",""
"0JGQJ","0","Vermont Afterschool","Tue Dec 20 2022","50",""
"HLPT","0","SOWK632","Tue Feb 14 2023","50",""
"HBVY","1","Sally Beauty ","Wed Aug 17 2022","15","[{""M"":{""user_id"":{""S"":""signinwithapple_001587.0280f767d6ac40a7be07fd8849b4519c.1456""},""exp_date"":{""S"":""Wed Aug 17 2022""}}}]"
"FEVS","1","Kaiser Permanente","Fri Aug 05 2022","15","[{""M"":{""user_id"":{""S"":""google_113692670500343173562""},""exp_date"":{""S"":""Fri Aug 05 2022""}}}]"
"PXVW","1","Metro","Sat Aug 06 2022","15","[{""M"":{""exp_date"":{""S"":""Sat Aug 06 2022""},""user_id"":{""S"":""cb9eff70-f26b-4467-a4ee-546b2ae78cab""}}}]"
"KGNE","0","Boston Scientific - Interventional Cardiology","Tue Feb 14 2023","50",""
"CIHU","6","WM","Sat Aug 06 2022","15","[{""M"":{""exp_date"":{""S"":""Sat Aug 06 2022""},""user_id"":{""S"":""43a95f01-3ba0-467b-b0e5-3e2d918615f9""}}},{""M"":{""exp_date"":{""S"":""Sat Aug 06 2022""},""user_id"":{""S"":""google_113983147872028522491""}}},{""M"":{""exp_date"":{""S"":""Sat Aug 06 2022""},""user_id"":{""S"":""facebook_10221240059812901""}}},{""M"":{""exp_date"":{""S"":""Sat Aug 06 2022""},""user_id"":{""S"":""google_112804531205232878253""}}},{""M"":{""exp_date"":{""S"":""Sat Aug 06 2022""},""user_id"":{""S"":""47ae0c6c-2f37-46c0-a399-b3728fcdeef4""}}},{""M"":{""exp_date"":{""S"":""Sat Aug 06 2022""},""user_id"":{""S"":""257dd86a-0f72-4864-94c5-955bd064a6c1""}}}]"
"WKAS","1","Hogben","Sat Aug 06 2022","25","[{""M"":{""exp_date"":{""S"":""Sat Aug 06 2022""},""user_id"":{""S"":""7586b49b-ff4a-4b43-bb79-04f077974e80""}}}]"
"CNMA","7","Kroger","Sat Aug 06 2022","15","[{""M"":{""user_id"":{""S"":""loginwithamazon_amzn1.account.aenxw6vyx6p5jbymb33hrivmb3mq""},""exp_date"":{""S"":""Sat Aug 06 2022""}}},{""M"":{""user_id"":{""S"":""google_116358657480230329129""},""exp_date"":{""S"":""Sat Aug 06 2022""}}},{""M"":{""user_id"":{""S"":""google_109801732025092136481""},""exp_date"":{""S"":""Sat Aug 06 2022""}}},{""M"":{""user_id"":{""S"":""facebook_5304354936324577""},""exp_date"":{""S"":""Sat Aug 06 2022""}}},{""M"":{""user_id"":{""S"":""google_115112013037458293597""},""exp_date"":{""S"":""Sat Aug 06 2022""}}},{""M"":{""user_id"":{""S"":""195a1bf4-c5a9-48de-bb25-8b4b348eeb36""},""exp_date"":{""S"":""Sat Aug 06 2022""}}},{""M"":{""user_id"":{""S"":""google_117442812631105024141""},""exp_date"":{""S"":""Sat Aug 06 2022""}}}]"
"MEPR","1","D&D Service NSW","Fri Mar 03 2023","50","[{""M"":{""user_id"":{""S"":""1f78c725-0ee2-4175-ba6a-ee048564a231""},""exp_date"":{""S"":""Fri Mar 03 2023 00:00:00 GMT+0000 (Coordinated Universal Time)""}}}]"
"HHHV","4","Kips Bay boys and girls","Fri Aug 12 2022","15","[{""M"":{""user_id"":{""S"":""google_117217653713919413085""},""exp_date"":{""S"":""Fri Aug 12 2022""}}},{""M"":{""user_id"":{""S"":""signinwithapple_001973.1b9137e0b41e470eb7c2b3baae5a16cc.1452""},""exp_date"":{""S"":""Fri Aug 12 2022""}}},{""M"":{""user_id"":{""S"":""google_101822605432144205096""},""exp_date"":{""S"":""Fri Aug 12 2022""}}},{""M"":{""user_id"":{""S"":""facebook_5414728211943004""},""exp_date"":{""S"":""Fri Aug 12 2022""}}}]"
"EHPH","1","FJS","Sun Aug 28 2022","15","[{""M"":{""user_id"":{""S"":""google_112535230901638498271""},""exp_date"":{""S"":""Sun Aug 28 2022""}}}]"
"MLVVL","","Telemarketing Services","Tue Oct 11 2022","50",""
"ZLHJ","1","Mfrm","Sat Aug 06 2022","15","[{""M"":{""exp_date"":{""S"":""Sat Aug 06 2022""},""user_id"":{""S"":""e3cbc37e-52be-4a2a-a7d7-eb5de75cec4c""}}}]"
"GZEV","1","HH","Sat Aug 06 2022","15","[{""M"":{""exp_date"":{""S"":""Sat Aug 06 2022""},""user_id"":{""S"":""google_100391507113937027178""}}}]"
"BXJA","1","CCA","Sat Aug 06 2022","25","[{""M"":{""exp_date"":{""S"":""Sat Aug 06 2022""},""user_id"":{""S"":""967482a6-ac69-4f67-a93f-2fe11bce7893""}}}]"
"KHCR","1","Sofiaâ€™s reunion with Dad","Sat Aug 06 2022","15","[{""M"":{""exp_date"":{""S"":""Sat Aug 06 2022""},""user_id"":{""S"":""google_100914701849428598704""}}}]"
"8W759","51","Clorox Company","Wed Oct 26 2022","50",""
"QOYZ","1","Serur Agencies","Sat Aug 06 2022","15","[{""M"":{""exp_date"":{""S"":""Sat Aug 06 2022""},""user_id"":{""S"":""google_107073741318535190302""}}}]"
"AEZL","1","GYO 2022","Sat Aug 06 2022","15","[{""M"":{""exp_date"":{""S"":""Sat Aug 06 2022""},""user_id"":{""S"":""google_105682928460002100952""}}}]"
"FBGU","10","Validity","Thu Aug 25 2022","15","[{""M"":{""user_id"":{""S"":""f10a97cb-f6c1-4b0e-bbbe-f2b1d7e3afc5""},""exp_date"":{""S"":""Thu Aug 25 2022""}}},{""M"":{""user_id"":{""S"":""signinwithapple_000991.c14cd7cbd6994e468e2e008ca851f4b4.1450""},""exp_date"":{""S"":""Thu Aug 25 2022""}}},{""M"":{""user_id"":{""S"":""86b0376c-dbe1-4871-b015-35d011b88715""},""exp_date"":{""S"":""Thu Aug 25 2022""}}},{""M"":{""user_id"":{""S"":""google_113539146165766346020""},""exp_date"":{""S"":""Thu Aug 25 2022""}}},{""M"":{""user_id"":{""S"":""google_117601196845181144084""},""exp_date"":{""S"":""Thu Aug 25 2022""}}},{""M"":{""user_id"":{""S"":""facebook_10228308134189668""},""exp_date"":{""S"":""Thu Aug 25 2022""}}},{""M"":{""user_id"":{""S"":""c3be839b-419c-4a73-ac52-91eb4c1129d4""},""exp_date"":{""S"":""Thu Aug 25 2022""}}},{""M"":{""user_id"":{""S"":""signinwithapple_001997.24bde65cc4bc4ab882de1de89d656aee.1934""},""exp_date"":{""S"":""Thu Aug 25 2022""}}},{""M"":{""user_id"":{""S"":""signinwithapple_002008.211a46196fcd415e96fedd87805d7595.1934""},""exp_date"":{""S"":""Thu Aug 25 2022""}}},{""M"":{""user_id"":{""S"":""signinwithapple_001553.f609e00678c947e09f270a40dab33809.1932""},""exp_date"":{""S"":""Thu Aug 25 2022""}}}]"
"AZIC","1","Exact Sciences","Fri Mar 10 2023","50","[{""M"":{""user_id"":{""S"":""cc876078-b39c-48ad-9826-d3b60a98a147""},""exp_date"":{""S"":""Fri Mar 10 2023 00:00:00 GMT+0000 (Coordinated Universal Time)""}}}]"
"YVRM","1","umetnica mora biti zdrava","Sat Aug 06 2022","25","[{""M"":{""exp_date"":{""S"":""Sat Aug 06 2022""},""user_id"":{""S"":""facebook_7672269162847832""}}}]"
"USQM","3","The Home Depot","Sat Aug 06 2022","25","[{""M"":{""exp_date"":{""S"":""Sat Aug 06 2022""},""user_id"":{""S"":""682a6bd4-37b2-4a26-ac7c-51346a17016e""}}},{""M"":{""exp_date"":{""S"":""Sat Aug 06 2022""},""user_id"":{""S"":""google_117950085502795358720""}}},{""M"":{""exp_date"":{""S"":""Sat Aug 06 2022""},""user_id"":{""S"":""signinwithapple_001629.5ccf1cd6a7864421a7f0ca3c20c57128.0257""}}}]"
"UEEY","0","Dukhan","Wed Feb 15 2023","50",""
"HYVD","4","Gameapart","Thu Feb 02 2023","50","[{""M"":{""user_id"":{""S"":""35388496-70f1-4fb1-bb51-a996ca336d7a""},""exp_date"":{""S"":""Thu Feb 02 2023 00:00:00 GMT+0000 (Coordinated Universal Time)""}}},{""M"":{""user_id"":{""S"":""22ac1351-2e1e-4709-9a34-86bffaa85d90""},""exp_date"":{""S"":""Thu Feb 02 2023 00:00:00 GMT+0000 (Coordinated Universal Time)""}}},{""M"":{""user_id"":{""S"":""22ac1351-2e1e-4709-9a34-86bffaa85d90""},""exp_date"":{""S"":""Thu Feb 02 2023 00:00:00 GMT+0000 (Coordinated Universal Time)""}}},{""M"":{""user_id"":{""S"":""88dab535-15e6-4442-92d4-51c369926828""},""exp_date"":{""S"":""Thu Feb 02 2023 00:00:00 GMT+0000 (Coordinated Universal Time)""}}}]"
"OFAH8","","Miss ","Mon Dec 12 2022","50",""
"XHZ11","","O*NO Legal","Fri Nov 25 2022","50",""
"RFSP5","","Amethods Public School","Fri Nov 11 2022","50",""
"QNCT","1","Youi","Sat Aug 06 2022","25","[{""M"":{""exp_date"":{""S"":""Sat Aug 06 2022""},""user_id"":{""S"":""23d83c81-b06e-4048-a891-0a920a12cecf""}}}]"
"VOYB","2","Weatherby Healthcare","Sat Aug 06 2022","25","[{""M"":{""exp_date"":{""S"":""Sat Aug 06 2022""},""user_id"":{""S"":""9dc371af-2604-49c5-9619-4c6ed82b5947""}}},{""M"":{""exp_date"":{""S"":""Sat Aug 06 2022""},""user_id"":{""S"":""d415c1c8-8d61-44d4-b3ab-44a5178d57a9""}}}]"
"IENA","6","Sunrun","Sat Mar 18 2023","50","[{""M"":{""user_id"":{""S"":""9d832639-20e5-4878-85ef-bf0e077fc03d""},""exp_date"":{""S"":""Sat Mar 18 2023 00:00:00 GMT+0000 (Coordinated Universal Time)""}}},{""M"":{""user_id"":{""S"":""b03fda61-8025-4087-9f78-b2a52dc57246""},""exp_date"":{""S"":""Sat Mar 18 2023 00:00:00 GMT+0000 (Coordinated Universal Time)""}}},{""M"":{""user_id"":{""S"":""signinwithapple_000459.447c70257af645108e21c110f0af4415.1413""},""exp_date"":{""S"":""Sat Mar 18 2023 00:00:00 GMT+0000 (Coordinated Universal Time)""}}},{""M"":{""user_id"":{""S"":""google_100489957460916699485""},""exp_date"":{""S"":""Sat Mar 18 2023 00:00:00 GMT+0000 (Coordinated Universal Time)""}}},{""M"":{""user_id"":{""S"":""3d9ba3e2-5c9f-4933-bd8f-67e7ac09e9b6""},""exp_date"":{""S"":""Sat Mar 18 2023 00:00:00 GMT+0000 (Coordinated Universal Time)""}}},{""M"":{""user_id"":{""S"":""fe9056ee-b62f-4f40-a166-075981d21226""},""exp_date"":{""S"":""Sat Mar 18 2023 00:00:00 GMT+0000 (Coordinated Universal Time)""}}}]"
"UVFN","0","GameApart Test 2","Sat Aug 06 2022","25",""
"5K7SD","","None","Mon Oct 17 2022","50",""
"XKND","1","PeopleScout","Sat Aug 06 2022","25","[{""M"":{""exp_date"":{""S"":""Sat Aug 06 2022""},""user_id"":{""S"":""0a65a32c-36ad-4f73-9e74-75fa226bd5e8""}}}]"
"GRLA","11","gameapart4","Thu Feb 02 2023","50","[{""M"":{""user_id"":{""S"":""google_104526296203468139478""},""exp_date"":{""S"":""Thu Feb 02 2023 00:00:00 GMT+0000 (Coordinated Universal Time)""}}},{""M"":{""user_id"":{""S"":""google_104526296203468139478""},""exp_date"":{""S"":""Thu Feb 02 2023 00:00:00 GMT+0000 (Coordinated Universal Time)""}}},{""M"":{""user_id"":{""S"":""google_104526296203468139478""},""exp_date"":{""S"":""Thu Feb 02 2023 00:00:00 GMT+0000 (Coordinated Universal Time)""}}},{""M"":{""user_id"":{""S"":""google_104526296203468139478""},""exp_date"":{""S"":""Thu Feb 02 2023 00:00:00 GMT+0000 (Coordinated Universal Time)""}}},{""M"":{""user_id"":{""S"":""google_104526296203468139478""},""exp_date"":{""S"":""Thu Feb 02 2023 00:00:00 GMT+0000 (Coordinated Universal Time)""}}},{""M"":{""user_id"":{""S"":""google_104526296203468139478""},""exp_date"":{""S"":""Thu Feb 02 2023 00:00:00 GMT+0000 (Coordinated Universal Time)""}}},{""M"":{""user_id"":{""S"":""google_113063632665375448763""},""exp_date"":{""S"":""Thu Feb 02 2023 00:00:00 GMT+0000 (Coordinated Universal Time)""}}},{""M"":{""user_id"":{""S"":""google_113063632665375448763""},""exp_date"":{""S"":""Thu Feb 02 2023 00:00:00 GMT+0000 (Coordinated Universal Time)""}}},{""M"":{""user_id"":{""S"":""google_104526296203468139478""},""exp_date"":{""S"":""Thu Feb 02 2023 00:00:00 GMT+0000 (Coordinated Universal Time)""}}},{""M"":{""user_id"":{""S"":""google_104526296203468139478""},""exp_date"":{""S"":""Thu Feb 02 2023 00:00:00 GMT+0000 (Coordinated Universal Time)""}}},{""M"":{""user_id"":{""S"":""google_104526296203468139478""},""exp_date"":{""S"":""Thu Feb 02 2023 00:00:00 GMT+0000 (Coordinated Universal Time)""}}}]"
"OYKX","0","Coach Wilda- Wellness.Business.LifeStyle.","Fri Feb 03 2023","50",""
"LKHK","3","Anchor Leg","Sat Aug 06 2022","25","[{""M"":{""exp_date"":{""S"":""Sat Aug 06 2022""},""user_id"":{""S"":""google_102848859944980277709""}}},{""M"":{""exp_date"":{""S"":""Sat Aug 06 2022""},""user_id"":{""S"":""facebook_10160554041880961""}}},{""M"":{""exp_date"":{""S"":""Sat Aug 06 2022""},""user_id"":{""S"":""google_106806060584154578872""}}}]"
"FXIT","1","test","Sat Aug 06 2022","25","[{""M"":{""exp_date"":{""S"":""Sat Aug 06 2022""},""user_id"":{""S"":""c41682de-d064-477e-a84a-8f403bddd800""}}}]"