"id","deck_name","deck_type","game_code","rating","safe_for_work","text","url"
"228","Expansions","Prompt","GAH","r","false","I tell you, it was a non-stop fuckfest. When it was over, my asshole looked like [BLANK].",""
"328","chpt","prompt","CHPT","r","true","toxicmasculinity-1","https://gameapart-config.s3.amazonaws.com/chpt/prompt/toxicmasculinity-1.jpg"
"001","Base Set","Prompt","GAH","g","true","Why can't I sleep at night?",""
"014","Base Set","Prompt","GAH","g","true","In the new Disney Channel Original Movie, Hannah Montana struggles with [BLANK] for the first time.",""
"141","Expansions","Prompt","GAH","g","true","As Teddy Roosevelt said, the four manly virtues are honor, temperance, industry, and [BLANK].",""
"207","Expansions","Prompt","GAH","r","false","What totally destroyed my asshole?",""
"195","Expansions","Prompt","GAH","pg-13","true","Most Americans would not vote for a candidate who is openly [BLANK].",""
"093","Expansions","Prompt","GAH","g","true","Charades was ruined for me forever when my mom had to act out [BLANK].",""
"086","Expansions","Prompt","GAH","g","true","This is your captain speaking. Fasten your seatbelts and prepare for [BLANK].",""
"023","Base Set","Prompt","GAH","g","false","What did I bring back from Mexico?",""
"120","Expansions","Prompt","GAH","g","true","In his farewell address, George Washington famously warned Americans about the dangers of [BLANK].",""
"231","Expansions","Prompt","GAH","r","false","LSD + [BLANK] = really bad time.",""
"168","Base Set","Prompt","GAH","pg-13","false","White people like [BLANK].",""
"011","Base Set","Prompt","GAH","g","true","What's that sound?",""
"007","Base Set","Prompt","GAH","g","true","TSA guidelines now prohibit [BLANK] on airplanes.",""
"061","Base Set","Prompt","GAH","g","true","Daddy, why is Mommy crying?",""
"058","Base Set","Prompt","GAH","g","true","In 1,000 years, when paper money is a distant memory, how will we pay for goods and services?",""
"103","Expansions","Prompt","GAH","g","true","The blind date was going horribly until we discovered our shared interest in [BLANK].",""
"242","DW20","Prompt","DW20","r","","I miss [BLANK] the most.",""
"102","Expansions","Prompt","GAH","g","true","Lovin' you is easy 'cause you're [BLANK].",""
"046","Base Set","Prompt","GAH","g","true","Why do I hurt all over?",""
"204","Expansions","Prompt","GAH","r","false","How am I compensating for my tiny penis?",""
"290","chpt","prompt","CHPT","r","true","adventurousness-1","https://gameapart-config.s3.amazonaws.com/chpt/prompt/adventurousness-1.jpg"
"307","chpt","prompt","CHPT","r","true","musicalpreference-1","https://gameapart-config.s3.amazonaws.com/chpt/prompt/musicalpreference-1.jpg"
"279","DW20","Prompt","DW20","r","","I love remote work. Now I can focus on [BLANK].",""
"065","Expansions","Prompt","GAH","g","true","What's fun until it gets weird?",""
"257","DW20","Prompt","DW20","r","","The aliens have arrived. They want [BLANK].",""
"010","Base Set","Prompt","GAH","g","true","Alternative medicine is now embracing the curative powers of [BLANK].",""
"280","DW20","Prompt","DW20","r","","Love is Blind but so is [BLANK].",""
"038","Base Set","Prompt","GAH","g","true","What gives me uncontrollable gas?",""
"298","chpt","prompt","CHPT","r","true","education-1","https://gameapart-config.s3.amazonaws.com/chpt/prompt/education-1.jpg"
"096","Expansions","Prompt","GAH","g","true","Finally! A service that delivers [BLANK] right to your door.",""
"167","Base Set","Prompt","GAH","pg-13","true","[BLANK]. That's how I want to die.",""
"147","Expansions","Prompt","GAH","g","true","Feeling so grateful! #amazing #mylife #[BLANK].",""
"186","Expansions","Prompt","GAH","pg-13","true","It lurks in the night. It hungers for flesh. This summer, no one is safe from [BLANK].",""
"275","DW20","Prompt","DW20","r","","[BLANK] should get impeached.",""
"325","chpt","prompt","CHPT","r","true","timeofday-1","https://gameapart-config.s3.amazonaws.com/chpt/prompt/timeofday-1.jpg"
"172","Base Set","Prompt","GAH","pg-13","false","In Michael Jackson's final moments, he thought about [BLANK].",""
"139","Expansions","Prompt","GAH","g","true","Y'all ready to get this thing started? I'm Terry Crews, and this is America's Got [BLANK].",""
"028","Base Set","Prompt","GAH","g","true","Major League Baseball has banned [BLANK] for giving players an unfair advantage.",""
"314","chpt","prompt","CHPT","r","true","personalhygiene-1","https://gameapart-config.s3.amazonaws.com/chpt/prompt/personalhygiene-1.jpg"
"251","DW20","Prompt","DW20","r","","The secret behind Trump's hair is [BLANK].",""
"094","Expansions","Prompt","GAH","g","true","Tonight on 20/20: What you don't know about [BLANK] could kill you.",""
"300","chpt","prompt","CHPT","r","true","happiness-1","https://gameapart-config.s3.amazonaws.com/chpt/prompt/happiness-1.jpg"
"088","Expansions","Prompt","GAH","g","true","Members of New York's social elite are paying thousands of dollars just to experience [BLANK].",""
"191","Expansions","Prompt","GAH","pg-13","false","When I was a kid, we used to play Cowboys and [BLANK].",""
"174","Base Set","Prompt","GAH","pg-13","false","Life for American Indians was forever changed when the White Man introduced them to [BLANK].",""
"109","Expansions","Prompt","GAH","g","true","Wes Anderson's new film tells the story of a precocious child coming to terms with [BLANK].",""
"332","chpt","prompt","CHPT","r","true","year-3","https://gameapart-config.s3.amazonaws.com/chpt/prompt/year-3.jpg"
"156","Expansions","Prompt","GAH","g","true","Oh no! Siri, how do I fix [BLANK]?",""