"id","userId"
"google_109765218948749413455","google_109765218948749413455"
"facebook_10219832606787349","facebook_10219832606787349"
"google_103989746981539854451","google_103989746981539854451"
"signinwithapple_001541.30a7a1412d2b4c91a13ca5e424e14c66.2357","signinwithapple_001541.30a7a1412d2b4c91a13ca5e424e14c66.2357"
"google_100851272879963752838","google_100851272879963752838"
"google_117227747307414381645","google_117227747307414381645"
"google_114802764584889039163","google_114802764584889039163"
"facebook_4801400589874507","facebook_4801400589874507"
"google_115582318015146895909","google_115582318015146895909"
"loginwithamazon_amzn1.account.af5peuvavydeqg5lfl54rvy76uoq","loginwithamazon_amzn1.account.af5peuvavydeqg5lfl54rvy76uoq"
"google_114581214366768342025","google_114581214366768342025"
"google_115963253544944338003","google_115963253544944338003"
"facebook_5041821945855050","facebook_5041821945855050"
"facebook_4838765192803763","facebook_4838765192803763"
"facebook_10158767127436476","facebook_10158767127436476"
"google_102560107825693264572","google_102560107825693264572"
"google_101059825694351275712","google_101059825694351275712"
"google_103850685418024166014","google_103850685418024166014"
"google_115932825500237358520","google_115932825500237358520"
"google_106345660734183274672","google_106345660734183274672"
"google_114458510215012586814","google_114458510215012586814"
"facebook_5234201743291002","facebook_5234201743291002"
"google_111132877720075851004","google_111132877720075851004"
"google_103917279407776623864","google_103917279407776623864"
"google_113757260369197892218","google_113757260369197892218"
"signinwithapple_000238.dc337fc4da674d3a92771a6f56dd68f1.0142","signinwithapple_000238.dc337fc4da674d3a92771a6f56dd68f1.0142"
"google_114595196343309015891","google_114595196343309015891"
"google_113464572490294105831","google_113464572490294105831"
"signinwithapple_001670.4ca8c3614ca54cf4a389a50bd94700f6.2314","signinwithapple_001670.4ca8c3614ca54cf4a389a50bd94700f6.2314"
"google_105868200132610776488","google_105868200132610776488"
"google_112983676152059328252","google_112983676152059328252"
"google_108639985970195904460","google_108639985970195904460"
"facebook_3499774140244057","facebook_3499774140244057"
"google_102638818519485198469","google_102638818519485198469"
"google_113490937871026570519","google_113490937871026570519"
"google_100371490656327222456","google_100371490656327222456"
"google_107292243886788633214","google_107292243886788633214"
"google_103671268921776175985","google_103671268921776175985"
"facebook_10228517556551838","facebook_10228517556551838"
"loginwithamazon_amzn1.account.aeqteayayw5aaefxj6er7mru3gfa","loginwithamazon_amzn1.account.aeqteayayw5aaefxj6er7mru3gfa"
"google_106428761660023441331","google_106428761660023441331"
"google_101258568450220723064","google_101258568450220723064"
"google_103937942765912159095","google_103937942765912159095"
"google_116730642948184515875","google_116730642948184515875"
"facebook_115321807434707","facebook_115321807434707"
"google_108819286896125590616","google_108819286896125590616"
"google_102238877716396665729","google_102238877716396665729"
"google_116876451174447355014","google_116876451174447355014"
"google_105049247817465023601","google_105049247817465023601"
"facebook_10100741519795396","facebook_10100741519795396"